Protocol,NetworkID,Group,Radio,priority,Override,Hits,Timestamp,Radio alias
P25,BEE00.2D1,-2,2039245,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast 411
P25,BEE00.2D1,-2,2039107,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast 412
P25,BEE00.2D1,-2,2038620,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast 413
P25,BEE00.2D1,-2,2036136,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast 414
P25,BEE00.2D1,-2,2038559,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Inverell 420
P25,BEE00.2D1,-2,2037370,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Inverell 421
P25,BEE00.2D1,-2,2028617,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Inverell 422
P25,BEE00.2D1,-2,2019865,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Inverell 423
P25,BEE00.2D1,-2,2038556,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Glen Innes 430
P25,BEE00.2D1,-2,2034414,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Glen Innes 431
P25,BEE00.2D1,-2,2034448,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Glen Innes 432
P25,BEE00.2D1,-2,2018902,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Glen Innes 433
P25,BEE00.2D1,-2,2019799,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Glen Innes 434
P25,BEE00.2D1,-2,2038558,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Guyra 440
P25,BEE00.2D1,-2,2028604,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Guyra 441
P25,BEE00.2D1,-2,2034423,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Guyra 442
P25,BEE00.2D1,-2,2038248,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Guyra 443
P25,BEE00.2D1,-2,2028609,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Guyra 449
P25,BEE00.2D1,-2,2038563,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Manilla 460
P25,BEE00.2D1,-2,2038540,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction 470
P25,BEE00.2D1,-2,2034433,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction 471
P25,BEE00.2D1,-2,2038243,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction 472
P25,BEE00.2D1,-2,2038569,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrabri 480
P25,BEE00.2D1,-2,2018298,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrabri 481
P25,BEE00.2D1,-2,2034447,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrabri 482
P25,BEE00.2D1,-2,2038241,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrabri 483
P25,BEE00.2D1,-2,2038214,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrabri 484
P25,BEE00.2D1,-2,2038547,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coonabarabran 490
P25,BEE00.2D1,-2,2038230,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coonabarabran 491
P25,BEE00.2D1,-2,2034444,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coonabarabran 492
P25,BEE00.2D1,-2,2019760,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coonabarabran 493
P25,BEE00.2D1,-2,2038572,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Quirindi 510
P25,BEE00.2D1,-2,2038598,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Quirindi 511
P25,BEE00.2D1,-2,2038621,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Quirindi 512
P25,BEE00.2D1,-2,2038596,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Quirindi 513
P25,BEE00.2D1,-2,2038571,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narromine 530
P25,BEE00.2D1,-2,2038537,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narromine 531
P25,BEE00.2D1,-2,2034439,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narromine 532
P25,BEE00.2D1,-2,2038222,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narromine 533
